company_row_index_in_original,company_text,rank,insurance_label,score
6701,the sinton barbershop is a barber shop located in sinton texas united states | barbershop services hair styling personal care services | services | barber shops | barber shops,1,pet grooming services,0.2860668897628784
6701,the sinton barbershop is a barber shop located in sinton texas united states | barbershop services hair styling personal care services | services | barber shops | barber shops,2,food processing services,0.2497880607843399
6701,the sinton barbershop is a barber shop located in sinton texas united states | barbershop services hair styling personal care services | services | barber shops | barber shops,3,seafood processing services,0.24571865797042847
6701,the sinton barbershop is a barber shop located in sinton texas united states | barbershop services hair styling personal care services | services | barber shops | barber shops,4,carpet manufacturing services,0.2346639633178711
6701,the sinton barbershop is a barber shop located in sinton texas united states | barbershop services hair styling personal care services | services | barber shops | barber shops,5,compliance services,0.23437345027923584
6701,the sinton barbershop is a barber shop located in sinton texas united states | barbershop services hair styling personal care services | services | barber shops | barber shops,6,industrial plumbing services,0.22895854711532593
6701,the sinton barbershop is a barber shop located in sinton texas united states | barbershop services hair styling personal care services | services | barber shops | barber shops,7,coffee processing services,0.22409287095069885
6701,the sinton barbershop is a barber shop located in sinton texas united states | barbershop services hair styling personal care services | services | barber shops | barber shops,8,textile manufacturing services,0.2175331860780716
6701,the sinton barbershop is a barber shop located in sinton texas united states | barbershop services hair styling personal care services | services | barber shops | barber shops,9,meat processing services,0.21606948971748352
6701,the sinton barbershop is a barber shop located in sinton texas united states | barbershop services hair styling personal care services | services | barber shops | barber shops,10,apartment renovation services,0.21370700001716614
5376,gunfighter design custom knives is a company that specializes in designing and handcrafting custom knives and tools for hunting fishing and outdoor use the company was founded by a marine scout sniper and green beret sniper who believes that knives are one of the most important tools in the world they offer a variety of options for survival knives edc knives hunting knives and combat knives all of which are unique and specifically made to order customers can choose their blade finish handle material serial number and sheath and the company also offers custom cerakote and deep etching services lead times for custom designed knives are currently 4 6 months the founder of the company has over 25 years of experience working with steel building designing and fabricating elaborate chassis and suspensions | veterinary knives pops mk2p knife greenside knife axe wax veteran made knives custom leather sheaths manufacturer handcrafted functional art | manufacturing | kitchen furniture equipment | metal kitchen cookware utensil cutlery and flatware except precious manufacturing,1,accessory manufacturing,0.3978765904903412
5376,gunfighter design custom knives is a company that specializes in designing and handcrafting custom knives and tools for hunting fishing and outdoor use the company was founded by a marine scout sniper and green beret sniper who believes that knives are one of the most important tools in the world they offer a variety of options for survival knives edc knives hunting knives and combat knives all of which are unique and specifically made to order customers can choose their blade finish handle material serial number and sheath and the company also offers custom cerakote and deep etching services lead times for custom designed knives are currently 4 6 months the founder of the company has over 25 years of experience working with steel building designing and fabricating elaborate chassis and suspensions | veterinary knives pops mk2p knife greenside knife axe wax veteran made knives custom leather sheaths manufacturer handcrafted functional art | manufacturing | kitchen furniture equipment | metal kitchen cookware utensil cutlery and flatware except precious manufacturing,2,fishing and hunting services,0.355854868888855
